CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Male,1.0,-0.0437,,10.0,,0.7702,-0.6594,425.198,Q2,Palestine
PSE,Male,1.0,0.3142,0.4067,6.0,75.43,-1.3579,-0.7512,338.6617,Q2,Palestine
PSE,Male,1.0,-1.1019,0.905,10.0,16.5,-0.9708,-0.7349,247.13880000000003,Q2,Palestine
PSE,Male,1.0,-0.6206,,10.0,76.65,1.5386,1.6743,279.38309999999996,Q4 (Highest),Palestine
PSE,Male,1.0,1.0491,0.429,5.0,23.57,-1.316,-1.7778,400.1433,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.991,1.0161,6.0,17.0,-2.4206,-2.2509,360.5282,Q1 (Lowest),Palestine
PSE,Male,1.0,-1.3367,0.133,7.0,23.8,-0.6552,-0.8666,468.7697999999999,Q2,Palestine
PSE,Male,1.0,0.4745,,5.0,16.5,-1.1232,-1.7114,344.1002,Q1 (Lowest),Palestine
PSE,Female,1.0,0.2315,-1.6654,5.0,17.0,,-2.074,335.5532,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3128,,6.0,76.49,-1.8583,-0.8499,386.6488,Q2,Palestine
PSE,Female,1.0,0.0422,0.5653,7.0,26.8,-1.0049,-1.0024,393.75239999999997,Q2,Palestine
PSE,Male,1.0,-0.5616,-0.508,5.0,71.39,-3.1199,-1.3434,305.8524,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.4814,0.7889,5.0,17.0,-1.1238,-1.8535,369.0666,Q1 (Lowest),Palestine
PSE,Male,1.0,-1.113,,6.0,17.0,-0.7332,-1.5581,342.4915,Q1 (Lowest),Palestine
PSE,Female,1.0,0.3109,-0.2885,7.0,33.76,-1.7421,-1.1963,387.2099999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.0328,0.6647,7.0,33.76,-1.3088,-0.708,363.5495,Q2,Palestine
PSE,Female,1.0,0.3324,,5.0,17.0,-2.0766,-1.8951,330.119,Q1 (Lowest),Palestine
PSE,Male,3.0,-0.8527,-2.3755,9.0,,-1.237,0.5637,324.30510000000004,Q3,Palestine
PSE,Female,1.0,0.5364,0.3025,10.0,76.49,0.3338,0.8252,402.95,Q4 (Highest),Palestine
PSE,Female,1.0,-0.6035,-0.6243,7.0,71.39,-2.6091,-0.8253,287.746,Q2,Palestine
PSE,Female,1.0,0.3216,-0.8811,6.0,17.0,-1.5775,-1.8303,306.45439999999996,Q1 (Lowest),Palestine
PSE,Male,1.0,-1.2967,0.4067,8.0,17.0,-3.5224,-2.1635,334.89279999999997,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.6098,-0.4577,5.0,16.5,-1.2309,-1.542,422.6579,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.338,-0.2758,9.0,82.41,-2.2679,-0.1251,326.5177,Q2,Palestine
PSE,Female,1.0,2.4581,-1.2286,10.0,82.41,-0.5731,0.3148,466.7620999999999,Q3,Palestine
PSE,Female,1.0,-1.3198,1.2595,3.0,23.8,-3.7364,-2.9579,369.0873,Q1 (Lowest),Palestine
PSE,Male,1.0,,,9.0,,0.7155,0.0902,353.8589,Q3,Palestine
PSE,Male,3.0,-1.2909,,10.0,,-0.5704,0.115,350.71909999999997,Q3,Palestine
PSE,Male,1.0,0.0612,0.6566,10.0,77.1,-1.3802,0.4573,292.7142,Q3,Palestine
PSE,Female,1.0,0.0342,-0.638,8.0,16.5,-0.3598,-0.5238,444.8057,Q2,Palestine
PSE,Female,1.0,1.0846,-0.1172,9.0,62.39,0.1635,0.523,441.49830000000003,Q3,Palestine
PSE,Male,,,,,61.18,-0.3926,0.1445,314.2954,Q3,Palestine
PSE,Male,1.0,2.7308,0.4252,6.0,17.0,-1.0751,-1.7491,355.2806,Q1 (Lowest),Palestine
PSE,Male,,-1.292,,5.0,17.0,-4.1758,-2.8157,286.9951,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.1343,0.1748,5.0,37.34,-1.7555,-1.5853,354.408,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.1439,0.1031,6.0,17.0,-1.1495,-1.797,338.174,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.6074,0.429,7.0,61.18,0.2067,-0.1943,408.3129,Q2,Palestine
PSE,Male,1.0,-0.907,0.4252,2.0,30.34,-1.0765,-1.9224,307.2006,Q1 (Lowest),Palestine
PSE,Female,1.0,0.5031,-1.1715,9.0,17.0,0.7843,-0.4188,566.3688,Q2,Palestine
PSE,Female,1.0,-0.3261,-0.1371,9.0,52.4,-0.3207,-0.1133,519.3490000000002,Q2,Palestine
PSE,Male,,,,,,,,337.251,,Palestine
PSE,Female,1.0,-0.9541,,6.0,33.76,-3.5662,-2.5506,293.52360000000004,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.2482,-1.6741,7.0,23.8,-2.1886,-1.2674,410.1941999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.0602,,6.0,16.5,-0.4906,-1.5361,306.2589,Q1 (Lowest),Palestine
PSE,Female,1.0,2.2967,-0.0575,5.0,17.0,-2.7377,-2.5689,298.7459,Q1 (Lowest),Palestine
PSE,Female,1.0,2.7562,0.3378,2.0,17.0,-2.7842,-3.4962,284.93019999999996,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.3261,-0.508,5.0,17.0,-2.6412,-2.3771,387.31100000000004,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.1334,0.1931,5.0,30.78,-2.1372,-1.9377,414.9946,Q1 (Lowest),Palestine
PSE,Female,1.0,2.2967,-0.3794,5.0,17.0,-1.1323,-1.6899,324.71689999999995,Q1 (Lowest),Palestine
PSE,Male,,,,10.0,17.0,-2.5572,-1.0207,336.0947,Q2,Palestine
PSE,Female,1.0,-0.0502,-0.9755,7.0,16.5,-0.6493,-1.1237,393.348,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3128,0.6647,9.0,70.09,-0.9231,0.1755,339.4027,Q3,Palestine
PSE,Female,1.0,0.5768,,3.0,17.0,0.2452,-1.6683,422.53599999999994,Q1 (Lowest),Palestine
PSE,Male,1.0,0.5639,0.544,10.0,81.92,-1.8446,0.0245,415.8968,Q3,Palestine
PSE,Male,1.0,-0.8251,,7.0,71.39,-1.9367,-0.6048,302.60360000000003,Q2,Palestine
PSE,Female,1.0,-0.6035,-0.1172,3.0,33.76,-1.238,-2.1701,396.83599999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.1259,1.0161,9.0,82.41,-0.3207,0.6818,463.02350000000007,Q4 (Highest),Palestine
PSE,Male,1.0,0.3109,-0.508,5.0,17.0,-1.5676,-1.9427,392.1268,Q1 (Lowest),Palestine
PSE,Male,1.0,0.0311,-0.6243,8.0,82.41,-0.9094,0.2867,494.7736,Q3,Palestine
PSE,Female,1.0,0.1799,-0.5191,7.0,17.0,-1.8985,-1.0766,340.661,Q1 (Lowest),Palestine
PSE,Male,,,,10.0,,-1.9019,0.0574,309.901,Q3,Palestine
PSE,Female,,,0.1748,9.0,27.91,-1.5096,-0.3019,297.35839999999996,Q2,Palestine
PSE,Male,1.0,0.5482,,6.0,33.76,-1.5908,-1.4762,379.8609,Q1 (Lowest),Palestine
PSE,Female,1.0,0.9331,1.2587,5.0,33.76,-1.3853,-1.4495,340.0231,Q1 (Lowest),Palestine
PSE,Male,1.0,,,10.0,88.7,0.6103,0.8447,289.9392,Q4 (Highest),Palestine
PSE,Female,1.0,-0.6152,0.1932,7.0,71.39,-0.6672,-0.1285,380.20060000000007,Q2,Palestine
PSE,Female,1.0,0.7286,-0.0423,5.0,17.0,-2.6091,-2.7229,311.26,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.4645,2.5078,7.0,75.54,-0.6432,0.2928,305.10810000000004,Q3,Palestine
PSE,Female,1.0,-0.3261,,6.0,17.0,-0.7613,-1.6056,385.55589999999995,Q1 (Lowest),Palestine
PSE,Female,1.0,0.3605,0.1031,7.0,37.83,0.866,-0.0851,340.7935,Q2,Palestine
PSE,Male,1.0,,,3.0,,-0.5337,-2.39,417.35339999999997,Q1 (Lowest),Palestine
PSE,Male,1.0,1.1073,-2.3755,10.0,33.76,-3.4386,-1.0443,353.8802999999999,Q2,Palestine
PSE,Female,1.0,0.1689,-0.0394,5.0,27.91,-1.3092,-1.579,428.94210000000004,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.0328,0.602,6.0,23.57,-0.3207,-1.1311,347.9341,Q1 (Lowest),Palestine
PSE,Male,1.0,0.7289,0.429,10.0,60.92,-0.5036,-0.0135,351.8905,Q3,Palestine
PSE,Female,1.0,-0.5964,2.5078,7.0,33.76,-4.0483,-1.9916,320.6333,Q1 (Lowest),Palestine
PSE,Female,1.0,0.314,0.2929,10.0,54.0,0.2443,0.2704,452.5074999999999,Q3,Palestine
PSE,Male,1.0,-1.0113,0.6387,9.0,79.49,-1.1187,0.3349,356.0648,Q3,Palestine
PSE,Female,,,0.5653,6.0,30.34,-4.3029,-2.5126,284.2885,Q1 (Lowest),Palestine
PSE,Female,1.0,0.3249,0.4252,9.0,17.0,-1.7485,-1.1765,420.3585,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.2287,-0.2758,7.0,26.8,-1.0714,-1.0705,456.37069999999994,Q2,Palestine
PSE,Female,1.0,0.3759,0.133,8.0,61.18,-1.6302,-0.2845,416.4626,Q2,Palestine
PSE,Female,1.0,-0.1734,0.7889,10.0,70.5,-0.7181,0.1942,412.06530000000004,Q3,Palestine
PSE,Female,1.0,-0.3397,-0.2758,3.0,17.0,-1.5276,-2.0451,331.59600000000006,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3397,-0.2885,8.0,17.0,0.2597,-0.7927,401.2682,Q2,Palestine
PSE,Male,1.0,0.2822,2.5026,7.0,51.56,-0.3631,-0.0518,412.75879999999995,Q2,Palestine
PSE,Male,1.0,-0.2879,-0.2758,8.0,17.0,1.6241,-0.3195,386.3942,Q2,Palestine
PSE,Female,1.0,-0.338,1.4278,8.0,22.75,-1.3888,-0.9442,353.2677,Q2,Palestine
PSE,Male,1.0,,1.3726,5.0,17.0,-1.5021,-1.586,324.24109999999996,Q1 (Lowest),Palestine
PSE,Male,1.0,0.1602,-0.3744,8.0,75.54,-1.8879,-0.0352,315.999,Q2,Palestine
PSE,Female,1.0,-0.4986,0.905,8.0,17.0,-0.4201,-0.9114,334.8983,Q2,Palestine
PSE,Female,1.0,0.3863,-0.2885,6.0,62.39,-0.3207,-0.4512,480.5893,Q2,Palestine
PSE,Female,1.0,-0.5706,0.6647,5.0,17.0,-2.2834,-2.1842,355.92539999999997,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.3823,0.7889,2.0,71.39,-2.2409,-1.5712,298.15670000000006,Q1 (Lowest),Palestine
PSE,Female,1.0,0.3249,0.3025,7.0,71.39,0.2557,0.3261,387.74269999999996,Q3,Palestine
PSE,Male,1.0,-0.915,0.1932,6.0,17.0,-1.3115,-1.635,317.2501,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.9746,-0.3744,6.0,17.0,2.2846,-0.4485,283.3311,Q2,Palestine
PSE,Male,1.0,0.0311,1.5445,6.0,30.34,-1.2226,-1.5257,393.3655,Q1 (Lowest),Palestine
PSE,Female,,,,3.0,,-2.2001,-3.1758,272.9172,Q1 (Lowest),Palestine
PSE,Male,1.0,0.0311,,7.0,17.0,-2.0524,-1.6374,319.9802,Q1 (Lowest),Palestine
PSE,Male,1.0,2.1143,-0.5191,8.0,82.41,-0.4747,0.3607,422.4339,Q3,Palestine
PSE,Male,1.0,-0.6065,,8.0,56.03,-0.6552,-0.0327,519.0183,Q2,Palestine
PSE,Male,1.0,0.1254,,6.0,17.0,-0.8256,-1.4456,371.6937,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.7635,1.0161,5.0,33.76,-2.7125,-1.8459,435.6593999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.2292,1.1287,5.0,17.0,-0.925,-1.716,351.79929999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3261,0.3025,5.0,33.76,-1.8069,-1.6069,403.7351,Q1 (Lowest),Palestine
